rental_id,station_id,station_name,district,rental_date,return_date,user_type,age_group,gender,rental_duration,payment_amount,user_id
R001,ST001,강남역 1번출구,강남구,2025-06-01 08:30:00,2025-06-01 09:15:00,정기,20대,M,45,1500,U001
R002,ST002,역삼역 2번출구,강남구,2025-06-01 09:00:00,2025-06-01 09:30:00,일반,30대,F,30,1000,U002
R003,ST003,선릉역 3번출구,강남구,2025-06-01 10:15:00,2025-06-01 11:00:00,관광객,20대,M,45,1500,U003
R004,ST004,삼성역 1번출구,강남구,2025-06-01 11:30:00,2025-06-01 12:15:00,정기,40대,F,45,1500,U004
R005,ST005,종각역 1번출구,종로구,2025-06-01 12:00:00,2025-06-01 12:45:00,일반,20대,M,45,1500,U005
R006,ST006,명동역 2번출구,중구,2025-06-01 13:15:00,2025-06-01 14:00:00,정기,30대,F,45,1500,U006
R007,ST007,홍대입구역,마포구,2025-06-01 14:30:00,2025-06-01 15:15:00,관광객,20대,F,45,1500,U007
R008,ST008,강남역 2번출구,강남구,2025-06-01 15:45:00,2025-06-01 16:30:00,일반,20대,M,45,1500,U008
R009,ST009,역삼역 1번출구,강남구,2025-06-01 16:00:00,2025-06-01 17:00:00,정기,50대+,M,60,2000,U009
R010,ST010,선릉역 1번출구,강남구,2025-06-01 17:15:00,2025-06-01 18:00:00,일반,20대,F,45,1500,U010
R011,ST011,삼성역 3번출구,강남구,2025-06-01 18:30:00,2025-06-01 19:15:00,관광객,30대,M,45,1500,U011
R012,ST012,강남역 3번출구,강남구,2025-06-01 19:00:00,2025-06-01 19:30:00,정기,20대,F,30,1000,U012
R013,ST013,역삼역 3번출구,강남구,2025-06-01 20:15:00,2025-06-01 21:00:00,일반,40대,M,45,1500,U013
R014,ST014,선릉역 2번출구,강남구,2025-06-01 21:30:00,2025-06-01 22:15:00,정기,20대,M,45,1500,U014
R015,ST015,삼성역 2번출구,강남구,2025-06-01 22:00:00,2025-06-01 22:45:00,관광객,30대,F,45,1500,U015
R016,ST016,시청역 1번출구,중구,2025-06-02 08:00:00,2025-06-02 08:45:00,일반,20대,M,45,1500,U016
R017,ST017,을지로입구역,중구,2025-06-02 09:15:00,2025-06-02 10:00:00,정기,30대,F,45,1500,U017
R018,ST018,동대문역,동대문구,2025-06-02 10:30:00,2025-06-02 11:15:00,관광객,20대,M,45,1500,U018
R019,ST019,강남역 4번출구,강남구,2025-06-02 11:45:00,2025-06-02 12:30:00,일반,20대,F,45,1500,U019
R020,ST020,역삼역 4번출구,강남구,2025-06-02 13:00:00,2025-06-02 13:45:00,정기,40대,M,45,1500,U020
R021,ST021,선릉역 4번출구,강남구,2025-06-02 14:15:00,2025-06-02 15:00:00,관광객,20대,F,45,1500,U021
R022,ST022,삼성역 4번출구,강남구,2025-06-02 15:30:00,2025-06-02 16:15:00,일반,30대,M,45,1500,U022
R023,ST023,강남역 5번출구,강남구,2025-06-02 16:45:00,2025-06-02 17:30:00,정기,20대,M,45,1500,U023
R024,ST024,역삼역 5번출구,강남구,2025-06-02 18:00:00,2025-06-02 18:45:00,관광객,50대+,F,45,1500,U024
R025,ST025,선릉역 5번출구,강남구,2025-06-02 19:15:00,2025-06-02 20:00:00,일반,20대,M,45,1500,U025
R026,ST026,삼성역 5번출구,강남구,2025-06-02 20:30:00,2025-06-02 21:15:00,정기,30대,F,45,1500,U026
R027,ST027,강남역 6번출구,강남구,2025-06-02 21:45:00,2025-06-02 22:30:00,관광객,20대,M,45,1500,U027
R028,ST028,역삼역 6번출구,강남구,2025-06-02 22:00:00,2025-06-02 22:45:00,일반,40대,F,45,1500,U028
R029,ST029,선릉역 6번출구,강남구,2025-06-02 23:15:00,2025-06-02 23:45:00,정기,20대,M,30,1000,U029
R030,ST030,삼성역 6번출구,강남구,2025-06-02 23:30:00,2025-06-03 00:15:00,관광객,30대,F,45,1500,U030
R031,ST031,건대입구역,광진구,2025-06-03 08:00:00,2025-06-03 08:45:00,일반,20대,M,45,1500,U031
R032,ST032,잠실역 1번출구,송파구,2025-06-03 09:15:00,2025-06-03 10:00:00,정기,30대,F,45,1500,U032
R033,ST033,강남역 7번출구,강남구,2025-06-03 10:30:00,2025-06-03 11:15:00,관광객,20대,M,45,1500,U033
R034,ST034,역삼역 7번출구,강남구,2025-06-03 11:45:00,2025-06-03 12:30:00,일반,20대,F,45,1500,U034
R035,ST035,선릉역 7번출구,강남구,2025-06-03 13:00:00,2025-06-03 13:45:00,정기,40대,M,45,1500,U035
R036,ST036,삼성역 7번출구,강남구,2025-06-03 14:15:00,2025-06-03 15:00:00,관광객,20대,F,45,1500,U036
R037,ST037,강남역 8번출구,강남구,2025-06-03 15:30:00,2025-06-03 16:15:00,일반,30대,M,45,1500,U037
R038,ST038,역삼역 8번출구,강남구,2025-06-03 16:45:00,2025-06-03 17:30:00,정기,20대,M,45,1500,U038
R039,ST039,선릉역 8번출구,강남구,2025-06-03 18:00:00,2025-06-03 18:45:00,관광객,50대+,F,45,1500,U039
R040,ST040,삼성역 8번출구,강남구,2025-06-03 19:15:00,2025-06-03 20:00:00,일반,20대,M,45,1500,U040
R041,ST041,강남역 9번출구,강남구,2025-06-03 20:30:00,2025-06-03 21:15:00,정기,30대,F,45,1500,U041
R042,ST042,역삼역 9번출구,강남구,2025-06-03 21:45:00,2025-06-03 22:30:00,관광객,20대,M,45,1500,U042
R043,ST043,선릉역 9번출구,강남구,2025-06-03 22:00:00,2025-06-03 22:45:00,일반,40대,F,45,1500,U043
R044,ST044,삼성역 9번출구,강남구,2025-06-03 23:15:00,2025-06-03 23:45:00,정기,20대,M,30,1000,U044
R045,ST045,강남역 10번출구,강남구,2025-06-03 23:30:00,2025-06-04 00:15:00,관광객,30대,F,45,1500,U045
R046,ST046,이태원역,용산구,2025-06-04 08:00:00,2025-06-04 08:45:00,일반,20대,M,45,1500,U046
R047,ST047,한강진역,용산구,2025-06-04 09:15:00,2025-06-04 10:00:00,정기,30대,F,45,1500,U047
R048,ST048,강남역 11번출구,강남구,2025-06-04 10:30:00,2025-06-04 11:15:00,관광객,20대,M,45,1500,U048
R049,ST049,역삼역 10번출구,강남구,2025-06-04 11:45:00,2025-06-04 12:30:00,일반,20대,F,45,1500,U049
R050,ST050,선릉역 10번출구,강남구,2025-06-04 13:00:00,2025-06-04 13:45:00,정기,40대,M,45,1500,U050
